# 専門語の定訳(check_teiyaku.py が使う)。2026-09-05 ユーザー指摘
#   「英語を直訳したものに見えるのでしっかり専門用語は日本語で使われている表現をしましょう」
#
# 書式: 定訳 | 言い換えても定訳を1回は言うべき概念の目印(カンマ区切り) | 出典
# **左が「日本語で定着している呼び方」**。ナレーションが右の言い換えだけで済ませていたら落とす。
# 定訳を出したあと同じ動画で普通の言葉に置き換えるのは推奨(初出で1回言えばよい)。

権内|変えられるもの,変えられないもの,自分の力,自分次第|エピクテトス『提要』1 鹿野治助訳(岩波文庫『人生談義』)「私たちの権内にある/権内にない」
判断|受け取り方,どう思うか,考え方|マルクス・アウレリウス『自省録』8.47「君を悩ますのはそのもの自体ではなく、それに関する君の判断である」
論理療法|いまの考えを直す治療,考えを直す治療|アルバート・エリスが1955年に提唱。認知行動療法の源流
認知行動療法|考え方のクセを直す治療,心の治療|Cognitive Behavioral Therapy の定訳
ABC理論|出来事と気持ちのあいだ,考えを紙に書く|エリス。A=出来事 B=信念(受け取り方) C=結果
ストア派|ストイックの元|Stoicism の定訳
『自省録』|皇帝のノート,自分だけのノート|マルクス・アウレリウス。神谷美恵子訳ほか
『提要』|奴隷の本,薄い本|エピクテトス。鹿野治助訳は「提要」、國方栄二訳(岩波文庫2021)は「要録」
禁欲|欲しがらない練習,欲を抑える|修道院の修行の定訳
精神分析|過去を掘る治療,子どもの頃を掘る|フロイト。エリスが離れた治療
浪費|失う,取られる,奪われる|セネカ『人生の短さについて』1.3。原文 perdere は自分で使いつぶすこと。「失う/取られる」は被害者側の言い方で主張が逆になる
写本|手で書き写した本,写した本|印刷以前の本の伝わり方
随筆|エッセイ|モンテーニュ『エセー』が始まり
分け与える|分ける,あげる|セネカ『人生の短さについて』3.1。無償で他人に渡す distribuere
ストア派|ストイックの元,ストイックの語源|Stoicism の定訳
『人生の短さについて』|セネカの本,あの本|茂手木元蔵訳・中澤務訳。大西英文訳は『生の短さについて』
